id,takip_tamamlama,takip_anket_tarihi,takip_calisma_durumu_son_4hafta,takip_calisma_durumu_20_saat,takip_sgk_kaydi,takip_calisma_saat_ort,takip_calisma_aylik_gelir_ort
64345011,1.0,20/02/2012,Yes,No,,,
67032027,1.0,01/03/2012,No,,Yes,50.0,701.0
64263034,1.0,07/02/2012,Yes,Yes,Yes,60.0,700.0
68119016,1.0,30/01/2012,Yes,No,Yes,84.0,720.0
64296017,1.0,03/02/2012,No,,No,70.0,700.0
65883040,1.0,22/01/2012,Yes,Yes,Yes,60.0,680.0
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
64343038,1.0,24/02/2012,No,,,,
67573030,1.0,10/02/2012,Yes,Yes,Yes,50.0,1100.0
65883039,1.0,02/02/2012,Yes,Yes,Yes,45.0,800.0
67573011,1.0,10/01/2012,Yes,Yes,Yes,66.0,1200.0
65043045,1.0,14/02/2012,No,,,,
67577021,1.0,20/01/2012,Yes,Yes,Yes,50.0,900.0
66542022,1.0,23/01/2012,Yes,Yes,No,78.0,500.0
64244007,1.0,11/02/2012,Yes,Yes,,,
64372022,1.0,24/02/2012,No,,,,
67845038,1.0,19/01/2012,Yes,Yes,Yes,55.0,2000.0
64343012,1.0,08/02/2012,No,,Yes,45.0,600.0
67700014,1.0,25/02/2012,Yes,Yes,Yes,56.0,2300.0
67407040,1.0,15/02/2012,Yes,No,Yes,50.0,659.0
64068007,1.0,27/01/2012,Yes,Yes,No,78.0,700.0
67573022,1.0,19/01/2012,Yes,Yes,Yes,75.0,1000.0
67034051,1.0,14/01/2012,No,,,,
64263029,1.0,30/01/2012,No,,No,48.0,350.0
67843022,1.0,19/01/2012,No,,,,
67683042,1.0,13/01/2012,No,,No,52.0,650.0
67032068,1.0,31/01/2012,Yes,Yes,Yes,60.0,750.0
67786027,1.0,31/01/2012,Yes,Yes,Yes,72.0,700.0
61177019,1.0,17/01/2012,Yes,Yes,Yes,50.0,700.0
64343005,1.0,21/02/2012,No,,No,72.0,400.0
65459023,1.0,16/02/2012,No,,Yes,50.0,630.0
65240092,1.0,18/02/2012,No,,,,
65476050,1.0,06/02/2012,No,,Yes,50.0,750.0
65984118,1.0,25/02/2012,Yes,Yes,No,65.0,800.0
66382018,1.0,28/02/2012,No,,No,54.0,300.0
67032005,1.0,14/02/2012,No,,No,45.0,700.0
64174024,1.0,21/02/2012,No,,,,
64247022,1.0,18/01/2012,No,,Yes,40.0,1100.0
60984013,1.0,16/01/2012,No,,,,
64356004,1.0,01/02/2012,No,,No,40.0,400.0
65882027,1.0,20/01/2012,No,,Yes,70.0,450.0
64337014,1.0,23/01/2012,No,,,,
64262049,1.0,13/02/2012,No,,,,
61177037,1.0,15/01/2012,Yes,Yes,Yes,60.0,700.0
64260016,1.0,06/02/2012,No,,,,
65687031,1.0,08/02/2012,No,,Yes,63.0,650.0
65240075,1.0,18/02/2012,No,,Yes,70.0,350.0
65480009,1.0,25/01/2012,No,,,,
64354012,1.0,20/02/2012,Yes,Yes,Yes,40.0,850.0
66451021,1.0,02/02/2012,No,,No,84.0,450.0
65984111,1.0,29/01/2012,No,,,,
67577006,1.0,27/01/2012,No,,,,
66922022,1.0,11/02/2012,No,,,,
68444042,1.0,26/01/2012,Yes,Yes,Yes,72.0,900.0
68232039,1.0,15/01/2012,No,,No,48.0,650.0
66264026,1.0,15/02/2012,Yes,Yes,Yes,48.0,800.0
60409015,1.0,12/02/2012,No,,No,84.0,1000.0
65687009,1.0,20/01/2012,Yes,Yes,,,
68232041,1.0,03/02/2012,Yes,Yes,Yes,270.0,750.0
62617004,1.0,08/02/2012,Yes,No,No,15.0,600.0
64282015,1.0,15/02/2012,No,,No,13.0,500.0
65984055,1.0,13/01/2012,No,,No,60.0,250.0
65043049,1.0,23/02/2012,No,,,,
68304092,1.0,19/01/2012,No,,,,
67289001,1.0,07/02/2012,No,,Yes,54.0,800.0
64281030,1.0,15/02/2012,No,,Yes,48.0,400.0
65358187,1.0,01/02/2012,Yes,Yes,Yes,49.0,650.0
66451022,1.0,22/02/2012,No,,,,
65987010,1.0,13/01/2012,No,,,,
65461022,1.0,18/02/2012,Yes,Yes,Yes,45.0,630.0
64295048,1.0,28/02/2012,Yes,Yes,Yes,60.0,700.0
64186031,1.0,20/01/2012,No,,Yes,40.0,1300.0
65474012,1.0,11/02/2012,No,,,,
66451027,1.0,13/01/2012,No,,,,
67034032,1.0,24/02/2012,No,,Yes,55.0,500.0
64329023,1.0,12/02/2012,No,,Yes,48.0,900.0
60929014,1.0,16/02/2012,Yes,Yes,Yes,49.0,1260.0
66264007,1.0,01/02/2012,No,,Yes,50.0,650.0
67032043,1.0,19/01/2012,No,,Yes,60.0,525.0
64336022,1.0,17/01/2012,No,,Yes,48.0,99999.0
65984119,1.0,15/02/2012,Yes,Yes,No,68.0,600.0
68233037,1.0,13/01/2012,Yes,Yes,Yes,54.0,658.0
64373034,1.0,01/02/2012,Yes,No,Yes,48.0,1000.0
64346024,1.0,16/02/2012,Yes,Yes,Yes,60.0,750.0
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
67683025,1.0,07/01/2012,No,,No,30.0,500.0
60984006,1.0,14/02/2012,No,,,,
64300029,1.0,14/01/2012,No,,Yes,60.0,1250.0
64431049,1.0,13/02/2012,Yes,No,,,
64300019,1.0,01/02/2012,99.0,Yes,Yes,45.0,650.0
67579030,1.0,28/12/2011,Yes,No,Yes,60.0,800.0
68402021,1.0,15/02/2012,No,,,,
65882040,1.0,18/01/2012,No,,Yes,54.0,700.0
65042023,1.0,14/02/2012,Yes,Yes,Yes,54.0,99999.0
65493004,1.0,20/01/2012,Yes,Yes,Yes,40.0,1000.0
65042029,1.0,02/03/2012,Yes,Yes,Yes,48.0,950.0
64336034,1.0,24/01/2012,No,,,,
64336007,1.0,24/01/2012,No,,No,60.0,400.0
66382030,1.0,29/02/2012,No,,,,
65984030,1.0,24/01/2012,No,,No,72.0,300.0
66382044,1.0,22/02/2012,No,,No,50.0,600.0
68441009,1.0,21/01/2012,No,,,,
64068049,1.0,11/02/2012,No,,,,
65461023,1.0,07/02/2012,Yes,Yes,Yes,84.0,1000.0
67845029,1.0,09/01/2012,No,,No,30.0,450.0
64346032,1.0,16/02/2012,No,,Yes,48.0,400.0
68233020,1.0,25/02/2012,No,,,,
67460006,1.0,18/02/2012,Yes,Yes,Yes,60.0,1200.0
64295017,1.0,27/02/2012,Yes,Yes,No,48.0,700.0
67703018,1.0,23/02/2012,No,,Yes,50.0,600.0
67573034,1.0,12/02/2012,No,,Yes,50.0,980.0
65493006,1.0,10/02/2012,No,,No,50.0,650.0
65358011,1.0,27/01/2012,No,,,,
68302049,1.0,04/02/2012,Yes,No,No,72.0,500.0
64329004,1.0,19/02/2012,No,,Yes,45.0,650.0
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
68158073,1.0,13/02/2012,No,,,,
67407037,1.0,04/02/2012,No,,No,92.0,500.0
64297050,1.0,21/02/2012,No,,,,
68449050,1.0,16/01/2012,No,,,,
64344001,1.0,07/02/2012,No,,,,
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
60929022,1.0,04/01/2012,Yes,Yes,Yes,60.0,700.0
65211002,1.0,01/01/2012,No,,Yes,50.0,800.0
64338035,1.0,06/02/2012,Yes,Yes,No,25.0,1050.0
66264028,1.0,17/02/2012,Yes,Yes,Yes,70.0,800.0
65358184,1.0,01/02/2012,No,,,,
67407022,1.0,22/02/2012,Yes,Yes,Yes,60.0,750.0
68357040,1.0,13/02/2012,No,,Yes,48.0,1200.0
64357091,1.0,24/02/2012,Yes,Yes,No,72.0,600.0
64373014,1.0,31/01/2012,No,,Yes,48.0,650.0
64281030,1.0,15/02/2012,No,,Yes,48.0,400.0
67032060,1.0,27/01/2012,Yes,Yes,Yes,40.0,1000.0
67703023,1.0,26/02/2012,Yes,Yes,No,45.0,800.0
68097023,1.0,24/02/2012,No,,Yes,45.0,99999.0
64295004,1.0,29/02/2012,Yes,Yes,Yes,56.0,1000.0
64298013,1.0,22/01/2012,Yes,Yes,Yes,60.0,700.0
68444043,1.0,06/02/2012,Yes,Yes,Yes,45.0,1200.0
68233013,1.0,22/02/2012,Yes,Yes,Yes,50.0,700.0
68402045,1.0,04/02/2012,No,,No,60.0,600.0
61177040,1.0,19/01/2012,No,,Yes,65.0,900.0
64186027,1.0,15/02/2012,Yes,Yes,Yes,60.0,1000.0
64281030,1.0,15/02/2012,No,,Yes,48.0,400.0
65043038,1.0,23/02/2012,No,,Yes,60.0,930.0
64337017,1.0,16/01/2012,No,,No,77.0,99999.0
64174031,1.0,30/01/2012,Yes,Yes,Yes,108.0,1000.0
68302018,1.0,21/01/2012,No,,,,
67826041,1.0,23/01/2012,No,,,,
68096003,1.0,01/03/2012,Yes,Yes,Yes,65.0,750.0
64330014,1.0,15/02/2012,No,,,,
68405033,1.0,14/01/2012,Yes,Yes,Yes,60.0,2000.0
66809011,1.0,08/02/2012,Yes,Yes,Yes,60.0,99999.0
64356030,1.0,24/02/2012,No,,,,
67842023,1.0,11/01/2012,Yes,Yes,Yes,42.0,1000.0
65749007,1.0,24/02/2012,No,,Yes,48.0,660.0
66542016,1.0,14/02/2012,No,,,,
65984022,1.0,19/01/2012,No,,,,
64344009,1.0,25/02/2012,Yes,Yes,Yes,48.0,900.0
60409041,1.0,04/02/2012,Yes,Yes,Yes,65.0,850.0
67842001,1.0,26/01/2012,Yes,Yes,Yes,45.0,2300.0
68301040,1.0,09/02/2012,No,,Yes,84.0,732.0
64431058,1.0,18/02/2012,No,,,,
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
65984076,1.0,17/01/2012,No,,,,
67845016,1.0,29/02/2012,Yes,Yes,Yes,50.0,800.0
65496020,1.0,22/01/2012,Yes,Yes,No,36.0,1000.0
65294011,1.0,09/02/2012,No,,Yes,48.0,99999.0
64356037,1.0,20/02/2012,No,,Yes,50.0,700.0
64300023,1.0,18/01/2012,Yes,No,Yes,48.0,654.0
67703017,1.0,13/02/2012,No,,,,
67573002,1.0,19/01/2012,Yes,No,No,60.0,650.0
68233017,1.0,07/02/2012,No,,No,48.0,400.0
65481012,1.0,24/01/2012,Yes,Yes,Yes,48.0,700.0
68158068,1.0,07/02/2012,No,,,,
67289056,1.0,27/02/2012,No,,Yes,72.0,1200.0
64392019,1.0,31/01/2012,Yes,No,No,75.0,700.0
64281006,1.0,12/02/2012,Yes,Yes,Yes,48.0,760.0
63066027,1.0,12/01/2012,Yes,No,No,36.0,1000.0
64248025,1.0,14/02/2012,Yes,Yes,Yes,60.0,800.0
67683045,1.0,07/01/2012,No,,No,40.0,60.0
64337046,1.0,14/02/2012,No,,,,
64431012,1.0,19/01/2012,Yes,No,Yes,60.0,700.0
66837045,1.0,17/01/2012,No,,,,
64068050,1.0,26/01/2012,No,,,,
64068021,1.0,17/02/2012,No,,,,
64373006,1.0,24/02/2012,Yes,No,,,
65232009,1.0,14/02/2012,Yes,Yes,,,
64338010,1.0,22/02/2012,Yes,Yes,Yes,48.0,1100.0
64346029,1.0,24/02/2012,Yes,Yes,Yes,48.0,700.0
68301022,1.0,16/02/2012,Yes,Yes,Yes,40.0,1500.0
66382023,1.0,27/02/2012,Yes,Yes,Yes,40.0,1500.0
64209005,1.0,24/02/2012,No,,No,50.0,700.0
67803025,1.0,20/02/2012,No,,,,
67034071,1.0,12/02/2012,Yes,Yes,Yes,48.0,700.0
65232017,1.0,02/02/2012,Yes,No,No,105.0,99999.0
67034022,1.0,19/01/2012,No,,Yes,54.0,850.0
65496003,1.0,22/01/2012,No,,Yes,48.0,99999.0
65240017,1.0,12/02/2012,No,,Yes,56.0,700.0
64352017,1.0,14/02/2012,Yes,Yes,Yes,60.0,700.0
68301013,1.0,03/02/2012,No,,No,56.0,400.0
64337010,1.0,09/02/2012,Yes,No,Yes,56.0,680.0
67579035,1.0,05/01/2012,Yes,Yes,Yes,50.0,1000.0
68304040,1.0,09/02/2012,No,,No,60.0,450.0
66542033,1.0,14/02/2012,No,,,,
68304006,1.0,21/01/2012,Yes,Yes,Yes,48.0,701.0
64297032,1.0,06/02/2012,No,,No,40.0,120.0
68304051,1.0,19/01/2012,No,,,,
64248038,1.0,14/02/2012,No,,Yes,45.0,0.0
64186045,1.0,07/01/2012,No,,,,
64353012,1.0,20/02/2012,No,,,,
64281012,1.0,21/01/2012,Yes,Yes,No,54.0,100.0
67288010,1.0,20/02/2012,No,,Yes,45.0,600.0
64262014,1.0,13/02/2012,No,,,,
66382014,1.0,27/01/2012,No,,,,
65986011,1.0,17/01/2012,No,,Yes,54.0,850.0
67700022,1.0,28/02/2012,No,,Yes,45.0,1300.0
68158028,1.0,17/01/2012,No,,,,
64356031,1.0,07/02/2012,No,,Yes,50.0,800.0
64347020,1.0,29/02/2012,Yes,Yes,Yes,60.0,1000.0
67460020,1.0,13/01/2012,No,,,,
65882030,1.0,31/01/2012,Yes,Yes,Yes,48.0,700.0
64357006,1.0,14/02/2012,No,,No,150.0,500.0
68158042,1.0,26/01/2012,No,,Yes,105.0,650.0
68119021,1.0,24/01/2012,Yes,Yes,Yes,55.0,700.0
64361015,1.0,21/01/2012,No,,No,77.0,500.0
67826049,1.0,12/01/2012,Yes,Yes,No,60.0,700.0
61177024,1.0,14/02/2012,Yes,Yes,Yes,48.0,1350.0
64364011,1.0,24/02/2012,No,,No,54.0,99999.0
65434031,1.0,25/02/2012,Yes,Yes,Yes,45.0,1100.0
65480010,1.0,24/01/2012,Yes,Yes,Yes,60.0,860.0
64330009,1.0,01/02/2012,Yes,Yes,Yes,45.0,1475.0
67034031,1.0,03/02/2012,No,,,,
67703006,1.0,21/02/2012,Yes,Yes,Yes,48.0,1100.0
67843023,1.0,18/01/2012,No,,,,
64336036,1.0,19/02/2012,No,,No,50.0,650.0
64357044,1.0,25/02/2012,No,,No,40.0,300.0
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
68302054,1.0,01/02/2012,Yes,No,No,56.0,600.0
64354013,1.0,16/02/2012,Yes,Yes,Yes,55.0,1500.0
66922041,1.0,09/02/2012,No,,,,
68449012,1.0,06/02/2012,Yes,Yes,Yes,45.0,900.0
68357043,1.0,21/01/2012,Yes,Yes,Yes,45.0,790.0
67460050,1.0,12/02/2012,Yes,Yes,Yes,45.0,800.0
68304026,1.0,04/02/2012,Yes,Yes,No,24.0,300.0
68302011,1.0,13/01/2012,No,,Yes,54.0,500.0
65882028,1.0,18/01/2012,Yes,Yes,Yes,48.0,1000.0
66086034,1.0,10/02/2012,No,,No,72.0,500.0
60409004,1.0,14/02/2012,Yes,Yes,Yes,60.0,850.0
64297016,1.0,22/02/2012,No,,,,
67703028,1.0,04/02/2012,No,,No,40.0,1000.0
65436014,1.0,16/02/2012,Yes,No,Yes,60.0,360.0
68441048,1.0,18/01/2012,No,,,,
67703032,1.0,04/02/2012,Yes,Yes,Yes,48.0,860.0
60929021,1.0,20/02/2012,Yes,Yes,Yes,55.0,1600.0
64209012,1.0,19/01/2012,No,,Yes,45.0,600.0
67288035,1.0,19/02/2012,No,,Yes,66.0,660.0
64357094,1.0,04/03/2012,Yes,Yes,Yes,55.0,780.0
67032062,1.0,01/02/2012,Yes,No,No,72.0,820.0
64282007,1.0,20/02/2012,No,,No,40.0,130.0
64295001,1.0,21/02/2012,No,,No,60.0,500.0
65294028,1.0,29/01/2012,No,,Yes,60.0,750.0
63066028,1.0,21/02/2012,Yes,No,,,
64358009,1.0,20/01/2012,Yes,No,Yes,70.0,2000.0
64283025,1.0,22/02/2012,No,,,,
65436010,1.0,15/02/2012,Yes,No,Yes,50.0,100.0
65882038,1.0,20/01/2012,No,,,,
64067027,1.0,26/01/2012,Yes,Yes,Yes,40.0,700.0
65687004,1.0,28/02/2012,Yes,No,,,
67288002,1.0,07/02/2012,Yes,Yes,Yes,60.0,1000.0
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
64338002,1.0,18/02/2012,Yes,Yes,Yes,50.0,1200.0
65493032,1.0,21/02/2012,No,,No,72.0,330.0
68158075,1.0,31/01/2012,No,,,,
65476013,1.0,27/02/2012,Yes,No,,,
64431006,1.0,19/01/2012,Yes,Yes,Yes,60.0,650.0
64338021,1.0,24/02/2012,Yes,No,,,
66809050,1.0,07/02/2012,No,,No,40.0,0.0
