id,grup,kurs_kodu,baseline_anket_tarihi,cinsiyet,dogum_yili,baseline_calisma_durumu_son_4hafta,baseline_calisma_durumu_20_saat,baseline_sgk_kaydi,baseline_calisma_saat_ort,baseline_calisma_aylik_gelir_ort,takip_tamamlama,takip_anket_tarihi,takip_calisma_durumu_son_4hafta,takip_calisma_durumu_20_saat,takip_sgk_kaydi,takip_calisma_saat_ort,takip_calisma_aylik_gelir_ort,kurs_yeni_yetenekler_ogretti,kurs_mevcut_yeteneklerimi_sertifikaladi,kurs_is_bulma_stratejileri_ogretti,kursu_kim_verdi,sgk_ocak_2012,sgk_agu_2013,sgk_agu_2013_gelir,kurs_tamamlama_durumu,kursa_katilim_gun_sayisi,CP_c12,CP_c13
67573045,1,67573,2010-12-08,Male,1980,No,,,,,1.0,12/02/2012,Yes,Yes,Yes,48.0,860.0,,,,,1.0,0.0,0.0,No,,,
68233024,2,68233,2010-11-30,Female,1990,No,,,,,1.0,24/02/2012,Yes,Yes,Yes,75.0,730.0,,,,,1.0,1.0,1022.0,,,,
64346015,2,64346,2010-10-11,Female,1982,No,,Yes,70.0,142.0,1.0,21/02/2012,No,,Yes,48.0,900.0,,,,,0.0,0.0,0.0,,,,
65211017,2,65211,2010-09-30,Female,1989,No,,,,,1.0,27/01/2012,No,,,,,course did this,course did this,course did not do this,ISKUR,0.0,1.0,1021.5,,,,
68119020,1,68119,2010-12-10,Female,1990,No,,,,,1.0,24/01/2012,No,,No,70.0,400.0,course did this,course did this,course did this,ISKUR,1.0,0.0,0.0,Yes,27.0,,
68441045,1,68441,2010-12-16,Female,1971,No,,,,,1.0,14/01/2012,No,,,,,course did not do this,course did not do this,course did not do this,ISKUR,0.0,0.0,0.0,Yes,88.0,,
65988019,2,65988,2010-10-20,Female,1988,No,,,,,1.0,06/02/2012,No,,No,48.0,650.0,,,,,0.0,0.0,0.0,,,,
64329036,1,64329,2010-09-29,Female,1987,No,,,,,1.0,14/02/2012,Yes,Yes,Yes,47.0,700.0,,,,,1.0,1.0,1147.0,No,15.0,,
64364024,1,64364,2010-12-14,Male,1983,No,,,,,1.0,01/02/2012,Yes,Yes,Yes,55.0,1000.0,course did this,course did not do this,course did this,ISKUR,1.0,1.0,1771.29,Yes,64.0,,
64336041,1,64336,2010-10-05,Female,1974,No,,,,,1.0,24/01/2012,No,,,,,course did this,course did this,course did this,ISKUR,0.0,1.0,483.78,Yes,31.0,,
66837006,2,66837,2010-12-03,Female,1974,No,,Yes,70.0,650.0,1.0,08/02/2012,No,,Yes,36.0,500.0,,,,,0.0,0.0,0.0,,,,
65473008,2,65473,2010-10-16,Female,1986,No,,Yes,42.0,1100.0,1.0,24/01/2012,No,,,,,,,,,1.0,1.0,1327.16,,,,
66837006,2,66837,2010-12-03,Female,1974,No,,Yes,70.0,650.0,1.0,08/02/2012,No,,Yes,36.0,500.0,,,,,0.0,0.0,0.0,,,,
65211035,1,65211,2010-10-18,Female,1984,No,,,,,1.0,27/01/2012,No,,No,60.0,650.0,course did this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,25.0,,
65293028,1,65293,2010-10-04,Female,1974,No,,,,,1.0,31/01/2012,No,,Yes,48.0,650.0,course did this,course did this,course did not do this,ISKUR,0.0,0.0,0.0,Yes,28.0,,
67460003,2,67460,2010-11-18,Female,1986,No,,,,,1.0,28/12/2011,No,,No,45.0,800.0,course did this,course did not do this,course did this,Private training company/college,0.0,0.0,0.0,,,,
64186021,2,64186,2010-12-13,Female,1984,No,,No,24.0,400.0,1.0,28/01/2012,Yes,Yes,Yes,54.0,900.0,,,,,1.0,0.0,0.0,,,,
66837006,2,66837,2010-12-03,Female,1974,No,,Yes,70.0,650.0,1.0,08/02/2012,No,,Yes,36.0,500.0,,,,,0.0,0.0,0.0,,,,
64264028,1,64264,2010-10-04,Male,1993,Yes,Yes,No,72.0,9999.0,1.0,20/01/2012,Yes,Yes,Yes,54.0,750.0,,,,,1.0,0.0,0.0,No,,,
67034008,2,67034,2010-10-27,Female,1987,No,,Yes,70.0,550.0,1.0,14/01/2012,No,,Yes,60.0,600.0,course did this,course did this,course did this,ISKUR,1.0,1.0,1025.31,,,,
65476040,1,65476,2010-09-30,Male,1989,No,,No,60.0,800.0,1.0,13/01/2012,Yes,Yes,Yes,20.0,350.0,,,,,0.0,0.0,0.0,No,61.0,,
67032038,2,67032,2010-11-11,Female,1990,No,,No,50.0,700.0,1.0,14/02/2012,No,,,,,,,,,0.0,0.0,0.0,,,,
66891030,1,66891,2010-11-03,Female,1980,Yes,No,,,,1.0,06/02/2012,No,,Yes,50.0,600.0,course did this,course did this,course did this,ISKUR,0.0,1.0,1123.65,Yes,86.0,,
64260039,1,64260,2010-11-09,Female,1969,No,,,,,1.0,13/02/2012,No,,,,,,,,,0.0,0.0,0.0,No,28.0,,
65481022,1,65481,2010-10-13,Male,1992,No,,No,72.0,240.0,1.0,22/01/2012,No,,No,60.0,500.0,course did this,course did this,course did this,ISKUR,0.0,1.0,1021.5,Yes,59.0,,
67407032,1,67407,2010-12-14,Female,1992,No,,,,,1.0,18/01/2012,No,,,,,course did this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,88.0,,
67803009,2,67803,2010-12-15,Female,1978,No,,Yes,60.0,750.0,1.0,09/02/2012,No,,Yes,40.0,700.0,,,,,0.0,0.0,0.0,,,,
64344038,1,64344,2010-09-29,Female,1986,No,,,,,1.0,21/02/2012,No,,No,54.0,1000.0,,,,,0.0,1.0,1021.5,No,,,
65240018,2,65240,2010-10-14,Female,1985,No,,No,66.0,450.0,1.0,22/02/2012,No,,No,48.0,550.0,,,,,1.0,0.0,0.0,,,,
65358015,2,65358,2010-09-28,Female,1976,No,,,,,1.0,23/02/2012,No,,,,,,,,,0.0,0.0,0.0,,,,
68441024,2,68441,2011-01-26,Female,1972,No,,No,20.0,1500.0,1.0,20/01/2012,No,,,,,,,,,0.0,0.0,0.0,,,,
67034068,1,67034,2010-12-27,Female,1986,No,,Yes,72.0,630.0,1.0,06/02/2012,Yes,Yes,Yes,48.0,700.0,course did this,course did this,course did this,ISKUR,1.0,1.0,1733.32,Yes,58.0,,
65473018,1,65473,2010-10-16,Male,1983,No,,Yes,45.0,500.0,1.0,25/01/2012,No,,Yes,72.0,660.0,,,,,1.0,1.0,6000.0,No,,,
67034012,2,67034,2010-10-27,Female,1981,No,,Yes,48.0,700.0,1.0,07/02/2012,Yes,Yes,Yes,80.0,900.0,,,,,0.0,1.0,1380.33,,,,
68158017,2,68158,2010-12-10,Female,1985,No,,Yes,50.0,700.0,1.0,01/03/2012,No,,Yes,45.0,800.0,,,,,1.0,0.0,0.0,,,,
65687001,2,65687,2010-11-01,Male,1987,No,,,,,1.0,16/02/2012,No,,,,,,,,,1.0,0.0,0.0,,,,
64347004,2,64347,2010-12-16,Male,1992,No,,No,84.0,750.0,1.0,01/03/2012,Yes,Yes,99.0,40.0,1500.0,,,,,0.0,0.0,0.0,,,,
65042022,2,65042,2010-11-09,Female,1983,No,,,,,1.0,21/01/2012,No,,,,,course did this,course did this,course did this,NGO/Association,0.0,0.0,0.0,,,,
64300035,1,64300,2010-10-15,Male,1989,No,,,,,1.0,26/01/2012,Yes,Yes,Yes,40.0,1500.0,,,,,0.0,0.0,0.0,No,76.0,,
64068047,1,64068,2010-10-20,Male,1985,No,,,,,1.0,27/01/2012,No,,No,45.0,750.0,course did not do this,course did this,course did this,ISKUR,1.0,0.0,0.0,Yes,32.0,,
68097047,1,68097,2010-12-02,Female,1985,No,,,,,1.0,13/02/2012,Yes,Yes,Yes,48.0,1000.0,course did this,course did this,course did this,ISKUR,1.0,1.0,1398.78,Yes,60.0,,
67034063,1,67034,2010-10-28,Male,1987,No,,,,,1.0,13/02/2012,No,,Yes,45.0,99999.0,course did this,course did this,course did this,ISKUR,1.0,0.0,0.0,Yes,60.0,,
65294020,2,65294,2010-10-18,Female,1984,No,,Yes,20.0,500.0,1.0,03/02/2012,No,,Yes,20.0,450.0,course did this,course did this,course did not do this,ISKUR,0.0,1.0,1055.55,,,,
68097048,1,68097,2010-12-02,Female,1972,No,,Yes,50.0,80.0,1.0,13/01/2012,No,,Yes,48.0,800.0,course did this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,60.0,,
65293012,2,65293,2010-09-28,Male,1991,Yes,No,,,,1.0,10/02/2012,No,,Yes,50.0,800.0,,,,,0.0,1.0,1644.26,,,,
68402050,1,68402,2010-12-16,Female,1991,No,,No,50.0,400.0,1.0,20/01/2012,Yes,Yes,No,50.0,600.0,course did this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,48.0,,
65496012,2,65496,2010-10-21,Male,1976,No,,Yes,40.0,603.0,1.0,24/01/2012,Yes,Yes,Yes,44.0,700.0,,,,,1.0,1.0,1202.46,,,,
64284027,1,64284,2010-11-03,Female,1971,No,,Yes,60.0,600.0,1.0,21/02/2012,No,,,,,,,,,0.0,0.0,0.0,No,,,
68097074,1,68097,2010-12-10,Male,1986,No,,Yes,48.0,550.0,1.0,26/01/2012,Yes,Yes,Yes,48.0,1500.0,,,,,0.0,0.0,0.0,Yes,60.0,,
65496001,2,65496,2010-10-21,Male,1989,No,,,,,1.0,22/01/2012,No,,No,48.0,0.0,course did this,course did this,course did not do this,Employer,0.0,1.0,340.5,,,,
67803047,1,67803,2010-12-14,Female,1989,No,,No,60.0,650.0,1.0,11/01/2012,No,,,,,course did not do this,course did this,course did not do this,ISKUR,1.0,0.0,0.0,No,,,
65358058,2,65358,2011-01-07,Female,1974,No,,,,,1.0,01/02/2012,No,,,,,,,,,0.0,0.0,0.0,,,,
65179016,2,65179,2010-10-05,Male,1992,No,,,,,1.0,22/02/2012,Yes,Yes,No,36.0,400.0,,,,,1.0,0.0,0.0,,,,
64297045,1,64297,2010-11-04,Male,1984,No,,Yes,54.0,600.0,1.0,18/01/2012,Yes,Yes,Yes,45.0,1000.0,,,,,1.0,0.0,0.0,Yes,48.0,,
64262044,1,64262,2010-12-03,Female,1984,No,,,,,1.0,28/01/2012,No,,,,,course did this,course did this,course did not do this,ISKUR,0.0,1.0,453.47,Yes,57.0,,
65986018,1,65986,2010-10-20,Female,1981,No,,,,,1.0,19/01/2012,No,,,,,,,,,0.0,0.0,0.0,No,,,
64343010,2,64343,2010-12-15,Male,1978,No,,No,105.0,750.0,1.0,08/02/2012,No,,Yes,55.0,1000.0,course did this,course did this,course did this,ISKUR,1.0,1.0,2511.6,,,,
68441030,1,68441,2010-12-16,Female,1977,No,,,,,1.0,14/01/2012,No,,,,,course did this,course did this,course did not do this,ISKUR,0.0,0.0,0.0,Yes,90.0,,
64236006,2,64236,2010-11-08,Male,1988,No,,,,,1.0,18/02/2012,Yes,Yes,Yes,10.0,1400.0,,,,,1.0,1.0,953.4,Yes,105.0,,
65240104,1,65240,2011-01-07,Male,1985,No,,Yes,48.0,650.0,1.0,23/01/2012,No,,,,,,,,,0.0,1.0,1242.83,No,,,
64337021,2,64337,2010-10-01,Female,1990,No,,,,,1.0,30/01/2012,No,,No,60.0,550.0,,,,,0.0,0.0,0.0,,,,
64361013,1,64361,2010-10-30,Female,1990,No,,,,,1.0,29/02/2012,No,,No,84.0,630.0,,,,,1.0,1.0,1152.05,No,,,
68449032,1,68449,2010-12-13,Female,1989,No,,Yes,75.0,700.0,1.0,16/02/2012,No,,,,,course did this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,28.0,,
67843047,1,67843,2010-12-27,Female,1987,No,,Yes,60.0,500.0,1.0,22/02/2012,No,,Yes,48.0,800.0,course did not do this,course did not do this,course did this,ISKUR,1.0,1.0,649.17,Yes,,,
65358040,2,65358,2010-10-11,FEMALE,1990,No,,,,,1.0,28/01/2012,Yes,Yes,Yes,56.0,800.0,,,,,1.0,0.0,0.0,,,,
65294027,1,65294,2010-10-04,Female,1981,No,,,,,1.0,10/02/2012,No,,Yes,55.0,900.0,course did not do this,course did not do this,course did this,ISKUR,1.0,0.0,0.0,Yes,32.0,,
66264034,1,66264,2010-11-25,Male,1965,No,,No,56.0,775.0,1.0,12/02/2012,No,,No,60.0,650.0,course did not do this,course did not do this,course did this,ISKUR,1.0,1.0,1021.5,Yes,12.0,,
64344012,2,64344,2010-09-29,Female,1978,No,,Yes,60.0,800.0,1.0,09/02/2012,No,,Yes,72.0,1100.0,course did this,course did this,course did this,"Government (MoNE, Universities)",0.0,0.0,0.0,,,,
67407029,1,67407,2010-12-14,Female,1966,No,,Yes,48.0,350.0,1.0,18/01/2012,No,,Yes,70.0,300.0,course did this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,88.0,,
67803046,1,67803,2010-12-14,Female,1989,Yes,No,No,54.0,600.0,1.0,16/01/2012,No,,Yes,54.0,600.0,course did this,course did this,course did this,ISKUR,0.0,1.0,1087.41,Yes,82.0,,
64298020,2,64298,2010-10-19,Male,1978,No,,Yes,68.0,600.0,1.0,02/02/2012,Yes,Yes,No,60.0,1200.0,,,,,0.0,0.0,0.0,,,,
65358122,1,65358,2011-01-07,Female,1979,No,,,,,1.0,03/02/2012,No,,,,,course did this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,61.0,,
64282005,2,64282,2010-10-13,Female,1980,No,,No,15.0,240.0,1.0,24/01/2012,Yes,Yes,No,2.0,200.0,,,,,1.0,0.0,0.0,,,,
65883015,2,65883,2010-10-22,Female,1983,No,,Yes,40.0,600.0,1.0,28/01/2012,No,,Yes,48.0,100.0,,,,,0.0,0.0,0.0,,,,
