id,grup,sehir,cinsiyet,dogum_yili,egitim_seviye,baseline_son_4_hafta_gelir,baseline_hafta_20+_calisma,baseline_sgk_kaydi,baseline_haftalik_calisma_saat_ort,baseline_aylik_gelir_ort
68158065,Deney,Ankara,Kadin,1990.0,2 Yillik Yuksek Ogrenim,0.0,,,,
64337022,Kontrol,Kocaeli,Kadin,1986.0,Ortaokul/ Ortaokul (8 Yil),0.0,,0.0,72.0,300.0
68097018,Kontrol,Ankara,Kadin,1973.0,Meslek Yuksekokulu,0.0,,1.0,54.0,750.0
67289075,Deney,Ankara,Erkek,1985.0,Universite - Lisans Derecesi,0.0,,1.0,48.0,550.0
64298033,Deney,Manisa,,,,,,,,
67703035,Deney,Ankara,Kadin,1980.0,Meslek Yuksekokulu,0.0,,0.0,50.0,600.0
65474004,Kontrol,Tekirdag,Kadin,1972.0,Lise (Lise),0.0,,1.0,48.0,1000.0
68301002,Kontrol,Hatay,Kadin,1980.0,Lise (Lise),0.0,,,,
68097055,Deney,Ankara,Kadin,1992.0,Lise (Lise),0.0,,,,
65480006,Kontrol,Kirikkale,Erkek,1987.0,2 Yillik Yuksek Ogrenim,0.0,,,,
68304001,Kontrol,Hatay,Erkek,1984.0,Lise (Lise),0.0,,1.0,60.0,250.0
65749011,Kontrol,Eskisehir,Erkek,1985.0,Universite - Lisans Derecesi,0.0,,,,
65687036,Deney,Gaziantep,,,,,,,,
67579008,Kontrol,Istanbul,Kadin,1990.0,2 Yillik Yuksek Ogrenim,0.0,,,,
68097042,Deney,Ankara,Kadin,1979.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,60.0,500.0
68158027,Kontrol,Ankara,Erkek,1984.0,Universite - Lisans Derecesi,0.0,,99.0,48.0,450.0
65687007,Kontrol,Gaziantep,,,,,,,,
68405025,Kontrol,Istanbul,Kadin,1995.0,Ortaokul/ Ortaokul (8 Yil),0.0,,0.0,72.0,200.0
66922048,Deney,Ankara,Kadin,1975.0,Universite - Lisans Derecesi,0.0,,1.0,60.0,600.0
65042021,Kontrol,Erzurum,Kadin,1985.0,Ilkokul (5 Yil),0.0,,,,
65240025,Kontrol,Kayseri,Kadin,1983.0,Lise (Lise),0.0,,,,
65293037,Deney,Denizli,Erkek,1974.0,Ilkokul (5 Yil),0.0,,1.0,80.0,600.0
65293010,Kontrol,Denizli,Erkek,1982.0,Meslek Yuksekokulu,0.0,,,,
65497021,Deney,Kirikkale,Erkek,1988.0,Meslek Yuksekokulu,0.0,,0.0,56.0,780.0
67842030,Deney,Istanbul,Erkek,1987.0,2 Yillik Yuksek Ogrenim,1.0,0.0,0.0,72.0,500.0
65687021,Deney,Gaziantep,Kadin,1988.0,Universite - Lisans Derecesi,0.0,,,,
62617028,Deney,Kayseri,Kadin,1987.0,Lise (Lise),0.0,,0.0,72.0,500.0
65358013,Kontrol,Mus,Kadin,1982.0,Ilkokul (5 Yil),0.0,,,,
67700029,Deney,Istanbul,Kadin,1979.0,Universite - Lisans Derecesi,0.0,,,,
68441036,Deney,Istanbul,Kadin,1981.0,Lise (Lise),0.0,,0.0,30.0,9998.0
68233033,Deney,Eskisehir,Kadin,1982.0,Universite - Lisans Derecesi,0.0,,1.0,55.0,600.0
68158060,Deney,Ankara,Kadin,1992.0,Lise (Lise),0.0,,0.0,30.0,550.0
64344007,Kontrol,Kocaeli,Erkek,1989.0,2 Yillik Yuksek Ogrenim,1.0,0.0,,,
64068028,Deney,Elazig,,,,,,,,
59026006,Kontrol,Isparta,Kadin,1992.0,Meslek Yuksekokulu,1.0,1.0,0.0,55.0,450.0
60409036,Deney,Istanbul,Kadin,1989.0,2 Yillik Yuksek Ogrenim,0.0,,0.0,60.0,450.0
65043039,Deney,Erzurum,Erkek,1985.0,2 Yillik Yuksek Ogrenim,0.0,,0.0,40.0,600.0
67032071,Deney,Ankara,Kadin,1989.0,Lise (Lise),0.0,,,,
64186037,Deney,Istanbul,Kadin,1980.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,68.0,600.0
65434030,Deney,Gaziantep,Erkek,1988.0,2 Yillik Yuksek Ogrenim,0.0,,0.0,91.0,480.0
68301016,Kontrol,Hatay,Erkek,1988.0,Lise (Lise),0.0,,0.0,119.0,600.0
67289023,Kontrol,Ankara,Kadin,1987.0,Lise (Lise),1.0,1.0,0.0,48.0,700.0
64344013,Kontrol,Kocaeli,Kadin,1993.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,
64354030,Deney,Kocaeli,Erkek,1984.0,Universite - Lisans Derecesi,0.0,,0.0,45.0,600.0
64209042,Deney,Manisa,Erkek,1992.0,Meslek Yuksekokulu,0.0,,1.0,56.0,1000.0
66809010,Kontrol,Antalya,Kadin,1987.0,2 Yillik Yuksek Ogrenim,0.0,,99.0,72.0,350.0
66809005,Kontrol,Antalya,Kadin,1989.0,Lise (Lise),1.0,0.0,0.0,50.0,150.0
60929026,Deney,Istanbul,Erkek,1987.0,Universite - Lisans Derecesi,0.0,,,,
64431040,Deney,Kayseri,Erkek,1984.0,Universite - Lisans Derecesi,0.0,,1.0,112.0,4500.0
65358004,Kontrol,Mus,Kadin,1977.0,Lise (Lise),0.0,,0.0,30.0,80.0
67032028,Kontrol,Ankara,Kadin,1991.0,Meslek Yuksekokulu,0.0,,,,
66837026,Deney,Antalya,,,,,,,,
65476041,Deney,Eskisehir,Kadin,1986.0,Universite - Lisans Derecesi,0.0,,1.0,84.0,650.0
68158077,Deney,Ankara,Kadin,1982.0,Universite - Lisans Derecesi,1.0,0.0,0.0,52.0,600.0
66922038,Kontrol,Ankara,Erkek,1982.0,Universite - Lisans Derecesi,0.0,,,,
67407038,Deney,Istanbul,Erkek,1987.0,Meslek Yuksekokulu,0.0,,0.0,45.0,800.0
64330021,Deney,Kocaeli,Kadin,1985.0,Lise (Lise),1.0,0.0,0.0,15.0,100.0
60929010,Kontrol,Istanbul,Kadin,1974.0,Ortaokul/ Ortaokul (8 Yil),0.0,,1.0,77.0,520.0
65293028,Deney,Denizli,Kadin,1974.0,Ilkokul (5 Yil),0.0,,,,
65043036,Deney,Erzurum,Kadin,1976.0,Lise (Lise),0.0,,,,
66303027,Deney,Usak,Kadin,1990.0,Lise (Lise),0.0,,,,
64361009,Kontrol,Trabzon,Kadin,1973.0,Lise (Lise),0.0,,0.0,72.0,200.0
67577028,Deney,Istanbul,,,,,,,,
65493018,Kontrol,Eskisehir,Erkek,1984.0,Meslek Yuksekokulu,1.0,0.0,1.0,48.0,800.0
68158035,Kontrol,Ankara,Kadin,1979.0,Universite - Lisans Derecesi,0.0,,1.0,45.0,700.0
65434007,Kontrol,Gaziantep,,,,,,,,
68096036,Deney,Ankara,Kadin,1981.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,26.0,800.0
64343020,Kontrol,Kocaeli,Kadin,1988.0,Meslek Yuksekokulu,0.0,,0.0,80.0,400.0
64357067,Deney,Trabzon,Kadin,1986.0,Lise (Lise),1.0,1.0,1.0,120.0,650.0
67803039,Deney,Istanbul,Kadin,1989.0,Ortaokul/ Ortaokul (8 Yil),0.0,,1.0,20.0,160.0
68302033,Kontrol,Hatay,Erkek,1988.0,Lise (Lise),0.0,,0.0,56.0,600.0
64283008,Kontrol,Kocaeli,Erkek,1985.0,Universite - Lisans Derecesi,0.0,,1.0,63.0,500.0
67032005,Kontrol,Ankara,Kadin,1985.0,Universite - Lisans Derecesi,0.0,,0.0,48.0,700.0
67034039,Kontrol,Ankara,Kadin,1980.0,Lise (Lise),0.0,,,,
67573017,Kontrol,Istanbul,Kadin,1987.0,Ortaokul/ Ortaokul (8 Yil),0.0,,0.0,72.0,600.0
65882010,Kontrol,Usak,Kadin,1965.0,Ilkokul (5 Yil),0.0,,1.0,60.0,500.0
67288032,Deney,Ankara,Erkek,1977.0,Meslek Yuksekokulu,0.0,,1.0,48.0,850.0
64281037,Deney,Izmir,Kadin,1978.0,Universite - Lisans Derecesi,0.0,,0.0,60.0,400.0
64373038,Deney,Sakarya,,,,,,,,
64373014,Kontrol,Sakarya,Erkek,1989.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,60.0,
64431038,Deney,Kayseri,Kadin,1983.0,Universite - Lisans Derecesi,0.0,,1.0,60.0,575.0
67034017,Kontrol,Ankara,Kadin,1989.0,2 Yillik Yuksek Ogrenim,1.0,0.0,,,
64186049,Deney,Istanbul,Erkek,1984.0,Universite - Yuksek Lisans Derecesi Veya Daha Fazlasi,0.0,,,,
68119032,Deney,Denizli,Kadin,1980.0,Meslek Yuksekokulu,0.0,,,,
64431034,Deney,Kayseri,Kadin,1987.0,2 Yillik Yuksek Ogrenim,0.0,,,,
64284011,Kontrol,Izmir,Kadin,1975.0,Universite - Yuksek Lisans Derecesi Veya Daha Fazlasi,0.0,,1.0,45.0,1500.0
64345004,Kontrol,Kocaeli,,,,,,,,
64282021,Deney,Kocaeli,Kadin,1989.0,Universite - Lisans Derecesi,0.0,,,,
67034065,Deney,Ankara,Kadin,1974.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,55.0,650.0
68304039,Kontrol,Hatay,,,,,,,,
65358092,Kontrol,Mus,,,,,,,,
68097045,Deney,Ankara,Erkek,1986.0,Universite - Lisans Derecesi,0.0,,1.0,40.0,700.0
67289047,Deney,Ankara,Kadin,1985.0,Universite - Lisans Derecesi,0.0,,,,
64247021,Deney,Izmir,,,,,,,,
67700026,Deney,Istanbul,Erkek,1991.0,Lise (Lise),0.0,,0.0,50.0,500.0
64352018,Kontrol,Kocaeli,Erkek,1987.0,Universite - Lisans Derecesi,0.0,,,,
66922025,Kontrol,Ankara,Erkek,1984.0,Universite - Lisans Derecesi,0.0,,,,
66891035,Deney,Antalya,,,,,,,,
66264021,Deney,Kayseri,Erkek,1967.0,Ortaokul/ Ortaokul (8 Yil),0.0,,1.0,25.0,800.0
64357041,Kontrol,Trabzon,Erkek,1989.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,
65232024,Deney,Duzce,Erkek,1987.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,48.0,625.0
64283027,Deney,Kocaeli,Erkek,1987.0,2 Yillik Yuksek Ogrenim,0.0,,0.0,30.0,500.0
68097013,Kontrol,Ankara,Kadin,1987.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,45.0,900.0
68357009,Kontrol,Hatay,Erkek,1985.0,Universite - Lisans Derecesi,0.0,,1.0,45.0,600.0
68304073,Deney,Hatay,Kadin,1989.0,2 Yillik Yuksek Ogrenim,0.0,,,,
66086041,Deney,Eskisehir,Erkek,1991.0,Lise (Lise),0.0,,1.0,60.0,600.0
67845007,Kontrol,Istanbul,Erkek,1977.0,Lise (Lise),0.0,,1.0,42.0,900.0
65358101,Deney,Mus,Kadin,1981.0,Ilkokul (5 Yil),0.0,,,,
68357050,Deney,Hatay,Erkek,1983.0,Universite - Lisans Derecesi,0.0,,1.0,24.0,500.0
67034071,Deney,Ankara,Kadin,1985.0,Universite - Lisans Derecesi,0.0,,,,
64344039,Deney,Kocaeli,,,,,,,,
65043042,Deney,Erzurum,Erkek,1986.0,Lise (Lise),0.0,,,,
66922006,Kontrol,Ankara,Kadin,1976.0,Universite - Lisans Derecesi,0.0,,1.0,52.0,900.0
66922031,Kontrol,Ankara,Erkek,1988.0,2 Yillik Yuksek Ogrenim,1.0,0.0,1.0,48.0,604.0
65358083,Kontrol,Mus,Kadin,1992.0,Lise (Lise),0.0,,,,
67032019,Kontrol,Ankara,,,,,,,,
64174018,Kontrol,Istanbul,Erkek,1985.0,Meslek Yuksekokulu,0.0,,1.0,54.0,810.0
66451008,Kontrol,Diyarbakir,Kadin,1986.0,Lise (Lise),0.0,,,,
64338017,Kontrol,Kocaeli,Erkek,1980.0,Lise (Lise),1.0,0.0,1.0,60.0,750.0
67034004,Kontrol,Ankara,Erkek,1989.0,Meslek Yuksekokulu,0.0,,0.0,60.0,500.0
67034022,Kontrol,Ankara,Kadin,1983.0,Lise (Lise),0.0,,1.0,70.0,800.0
64067019,Kontrol,Elazig,Erkek,1992.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,
68405042,Deney,Istanbul,Kadin,1977.0,Ilkokul (5 Yil),1.0,0.0,0.0,10.0,500.0
65358048,Kontrol,Mus,Kadin,1977.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,
65493017,Kontrol,Eskisehir,Erkek,1983.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,48.0,600.0
65358100,Kontrol,Mus,Kadin,1981.0,Ilkokul (5 Yil),0.0,,,,
64343033,Deney,Kocaeli,Kadin,1989.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,48.0,
60984013,Deney,Istanbul,Erkek,1981.0,2 Yillik Yuksek Ogrenim,0.0,,0.0,70.0,500.0
65481003,Kontrol,Kirikkale,Erkek,1989.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,
64298035,Deney,Manisa,Erkek,1986.0,Ortaokul/ Ortaokul (8 Yil),1.0,0.0,1.0,48.0,580.0
64373005,Kontrol,Sakarya,,,,,,,,
64352010,Kontrol,Kocaeli,Kadin,1980.0,Meslek Yuksekokulu,0.0,,1.0,45.0,660.0
68158054,Deney,Ankara,Kadin,1984.0,Meslek Yuksekokulu,0.0,,,,
65211012,Kontrol,Denizli,Kadin,1989.0,Meslek Yuksekokulu,0.0,,1.0,50.0,480.0
66922027,Kontrol,Ankara,Erkek,1985.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,70.0,700.0
64244031,Deney,Izmir,Kadin,1985.0,Lise (Lise),1.0,0.0,1.0,47.0,780.0
68097001,Kontrol,Ankara,Kadin,1978.0,Lise (Lise),0.0,,1.0,40.0,700.0
68097030,Kontrol,Ankara,,,,,,,,
65042048,Deney,Erzurum,Erkek,1976.0,Universite - Lisans Derecesi,1.0,1.0,0.0,40.0,600.0
67407044,Deney,Istanbul,,,,,,,,
64372001,Kontrol,Sakarya,Erkek,1989.0,Ortaokul/ Ortaokul (8 Yil),1.0,1.0,0.0,60.0,650.0
64264016,Kontrol,Isparta,Erkek,1978.0,Universite - Lisans Derecesi,0.0,,,,
65232020,Deney,Duzce,Erkek,1981.0,Meslek Yuksekokulu,1.0,0.0,1.0,45.0,575.0
64067048,Deney,Elazig,Kadin,1983.0,Meslek Yuksekokulu,0.0,,,,
64296021,Kontrol,Manisa,Kadin,1992.0,Meslek Yuksekokulu,0.0,,0.0,60.0,
65753029,Deney,Eskisehir,Kadin,1989.0,Lise (Lise),0.0,,,,
65988007,Kontrol,Hatay,Erkek,1991.0,Lise (Lise),0.0,,0.0,60.0,50.0
65434040,Deney,Gaziantep,,,,,,,,
67805003,Kontrol,Istanbul,Kadin,1988.0,Lise (Lise),0.0,,0.0,35.0,300.0
65358159,Deney,Mus,Kadin,1987.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,
67573048,Deney,Istanbul,Kadin,1984.0,Ilkokul (5 Yil),0.0,,,,
67579041,Deney,Istanbul,Kadin,1989.0,2 Yillik Yuksek Ogrenim,0.0,,0.0,78.0,650.0
67407030,Deney,Istanbul,,,,,,,,
67579038,Deney,Istanbul,,,,,,,,
65294011,Kontrol,Denizli,Erkek,1989.0,Meslek Yuksekokulu,1.0,0.0,,,
67032063,Deney,Ankara,Erkek,1991.0,Lise (Lise),1.0,0.0,,,
67032072,Deney,Ankara,Kadin,1989.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,40.0,800.0
65749020,Kontrol,Eskisehir,Erkek,1986.0,Lise (Lise),1.0,0.0,0.0,56.0,1400.0
67288017,Kontrol,Ankara,Kadin,1990.0,2 Yillik Yuksek Ogrenim,0.0,,,,
65493050,Deney,Eskisehir,Kadin,1985.0,Meslek Yuksekokulu,0.0,,1.0,72.0,300.0
68357005,Kontrol,Hatay,Kadin,1992.0,Meslek Yuksekokulu,0.0,,0.0,45.0,400.0
65293015,Kontrol,Denizli,Erkek,1973.0,Ilkokul (5 Yil),0.0,,,,
67577043,Deney,Istanbul,,,,,,,,
67703008,Kontrol,Ankara,Kadin,1976.0,Universite - Lisans Derecesi,0.0,,1.0,48.0,650.0
67034068,Deney,Ankara,Kadin,1986.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,72.0,630.0
67407019,Kontrol,Istanbul,Kadin,1979.0,Lise (Lise),0.0,,1.0,55.0,600.0
67683020,Kontrol,Istanbul,Kadin,1969.0,Ilkokul (5 Yil),0.0,,0.0,40.0,
65294007,Kontrol,Denizli,Kadin,1977.0,Lise (Lise),0.0,,1.0,60.0,600.0
65474017,Deney,Tekirdag,Erkek,1984.0,Universite - Lisans Derecesi,0.0,,1.0,70.0,500.0
65042024,Kontrol,Erzurum,,,,,,,,
67803013,Kontrol,Istanbul,Kadin,1971.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,
64358002,Kontrol,Trabzon,Erkek,1978.0,Ortaokul/ Ortaokul (8 Yil),1.0,0.0,1.0,72.0,600.0
67845026,Deney,Istanbul,Erkek,1991.0,Meslek Yuksekokulu,0.0,,,,
66086026,Deney,Eskisehir,,,,,,,,
67289001,Kontrol,Ankara,Kadin,1986.0,Lise (Lise),0.0,,1.0,40.0,600.0
67703018,Kontrol,Ankara,Kadin,1983.0,Lise (Lise),0.0,,1.0,50.0,500.0
64392009,Kontrol,Sakarya,Erkek,1987.0,Lise (Lise),1.0,0.0,,,
64353036,Deney,Kocaeli,Kadin,1989.0,Ortaokul/ Ortaokul (8 Yil),1.0,0.0,,,
64247009,Kontrol,Izmir,Erkek,1972.0,Lise (Lise),0.0,,1.0,96.0,1000.0
67288001,Kontrol,Ankara,Erkek,1977.0,Meslek Yuksekokulu,0.0,,1.0,70.0,1800.0
66809011,Kontrol,Antalya,Kadin,1983.0,Lise (Lise),0.0,,,,
64343007,Kontrol,Kocaeli,Kadin,1987.0,Meslek Yuksekokulu,0.0,,1.0,48.0,500.0
68357024,Kontrol,Hatay,Kadin,1989.0,Lise (Lise),0.0,,0.0,84.0,60.0
66891007,Kontrol,Antalya,Kadin,1967.0,Universite - Lisans Derecesi,0.0,,1.0,50.0,1100.0
65686026,Deney,Gaziantep,Erkek,1989.0,2 Yillik Yuksek Ogrenim,0.0,,0.0,72.0,540.0
64281026,Deney,Izmir,Kadin,1986.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,40.0,1045.0
64354009,Kontrol,Kocaeli,Erkek,1989.0,Lise (Lise),0.0,,0.0,70.0,400.0
64431058,Deney,Kayseri,Kadin,1987.0,Lise (Lise),0.0,,,,
68096010,Kontrol,Ankara,Kadin,1974.0,Universite - Lisans Derecesi,0.0,,1.0,90.0,96.0
65043006,Kontrol,Erzurum,Kadin,1987.0,Lise (Lise),0.0,,1.0,30.0,600.0
65882040,Deney,Usak,Kadin,1969.0,Ilkokul (5 Yil),0.0,,0.0,45.0,300.0
67700032,Deney,Istanbul,,,,,,,,
68444041,Deney,Istanbul,Kadin,1979.0,Lise (Lise),1.0,0.0,,,
67843033,Deney,Istanbul,Erkek,1992.0,Meslek Yuksekokulu,0.0,,0.0,60.0,400.0
68441030,Deney,Istanbul,Kadin,1977.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,
67032024,Kontrol,Ankara,Kadin,1982.0,Lise (Lise),0.0,,1.0,70.0,600.0
65987016,Kontrol,Hatay,,,,,,,,
65984115,Deney,Hatay,Kadin,1975.0,Ilkokul (5 Yil),0.0,,,,
67289033,Kontrol,Ankara,Kadin,1976.0,2 Yillik Yuksek Ogrenim,0.0,,0.0,44.0,600.0
65293009,Kontrol,Denizli,Kadin,1986.0,Meslek Yuksekokulu,0.0,,1.0,42.0,450.0
65987013,Kontrol,Hatay,Kadin,1975.0,Lise (Lise),0.0,,,,
62617018,Deney,Kayseri,Erkek,1986.0,Lise (Lise),0.0,,1.0,45.0,700.0
66809040,Deney,Antalya,,,,,,,,
65988010,Kontrol,Hatay,Kadin,1979.0,Lise (Lise),0.0,,,,
65179008,Kontrol,Duzce,Erkek,1978.0,Ortaokul/ Ortaokul (8 Yil),0.0,,1.0,42.0,600.0
65358169,Deney,Mus,Kadin,1973.0,Ilkokul (5 Yil),1.0,1.0,1.0,40.0,600.0
67573027,Deney,Istanbul,Erkek,1984.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,
64431012,Kontrol,Kayseri,Kadin,1987.0,2 Yillik Yuksek Ogrenim,0.0,,0.0,75.0,900.0
65984077,Deney,Hatay,Kadin,1969.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,
64297014,Kontrol,Manisa,Kadin,1990.0,2 Yillik Yuksek Ogrenim,0.0,,,,
65749010,Kontrol,Eskisehir,Kadin,1987.0,Lise (Lise),0.0,,1.0,72.0,800.0
67579046,Deney,Istanbul,Kadin,1988.0,2 Yillik Yuksek Ogrenim,1.0,0.0,0.0,66.0,600.0
66891044,Deney,Antalya,Erkek,1980.0,Lise (Lise),0.0,,,,
66837042,Deney,Antalya,Kadin,1983.0,Ilkokul (5 Yil),0.0,,0.0,33.0,300.0
67460036,Deney,Istanbul,Erkek,1993.0,Ortaokul/ Ortaokul (8 Yil),0.0,,0.0,60.0,550.0
64283018,Kontrol,Kocaeli,Kadin,1981.0,Ilkokul (5 Yil),0.0,,,,
67288029,Deney,Ankara,Kadin,1985.0,Lise (Lise),0.0,,1.0,55.0,1200.0
67407027,Deney,Istanbul,Kadin,1986.0,Ortaokul/ Ortaokul (8 Yil),0.0,,0.0,72.0,850.0
67703026,Deney,Ankara,Kadin,1989.0,2 Yillik Yuksek Ogrenim,0.0,,0.0,98.0,450.0
64295013,Kontrol,Manisa,Kadin,1984.0,Lise (Lise),0.0,,1.0,48.0,700.0
65179006,Kontrol,Duzce,Erkek,1981.0,Ilkokul (5 Yil),0.0,,1.0,55.0,950.0
64297039,Deney,Manisa,Erkek,1990.0,2 Yillik Yuksek Ogrenim,0.0,,0.0,50.0,500.0
67289077,Deney,Ankara,Kadin,1988.0,Universite - Lisans Derecesi,0.0,,1.0,40.0,575.0
68097039,Kontrol,Ankara,,,,,,,,
64357037,Kontrol,Trabzon,Kadin,1989.0,Ortaokul/ Ortaokul (8 Yil),1.0,0.0,,,
67034023,Kontrol,Ankara,Erkek,1988.0,2 Yillik Yuksek Ogrenim,0.0,,0.0,60.0,600.0
68405006,Kontrol,Istanbul,Kadin,1975.0,Ilkokul (5 Yil),0.0,,0.0,48.0,600.0
66451025,Kontrol,Diyarbakir,Kadin,1991.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,
68097046,Deney,Ankara,Erkek,1990.0,2 Yillik Yuksek Ogrenim,0.0,,0.0,84.0,
66922028,Kontrol,Ankara,Erkek,1976.0,Universite - Lisans Derecesi,1.0,0.0,1.0,60.0,900.0
59026034,Deney,Isparta,Erkek,1991.0,Meslek Yuksekokulu,0.0,,0.0,140.0,650.0
65984080,Deney,Hatay,Kadin,1969.0,Ilkokul (5 Yil),0.0,,,,
65984106,Deney,Hatay,Kadin,1968.0,Meslek Yuksekokulu,0.0,,1.0,10.0,450.0
66922039,Kontrol,Ankara,Kadin,1982.0,Meslek Yuksekokulu,1.0,1.0,0.0,9999.0,9999.0
68449023,Kontrol,Istanbul,Kadin,1978.0,Universite - Lisans Derecesi,0.0,,0.0,84.0,9998.0
65988027,Deney,Hatay,Kadin,1984.0,Universite - Lisans Derecesi,0.0,,1.0,30.0,800.0
68402046,Deney,Istanbul,Kadin,1974.0,Ortaokul/ Ortaokul (8 Yil),0.0,,1.0,48.0,9998.0
66809015,Kontrol,Antalya,,,,,,,,
64300036,Deney,Manisa,Erkek,1984.0,Meslek Yuksekokulu,0.0,,1.0,48.0,560.0
68119023,Deney,Denizli,Kadin,1985.0,Lise (Lise),0.0,,1.0,50.0,450.0
64244024,Deney,Izmir,Erkek,1981.0,Ortaokul/ Ortaokul (8 Yil),0.0,,0.0,45.0,1000.0
68304077,Deney,Hatay,Kadin,1988.0,Lise (Lise),0.0,,,,
64281015,Kontrol,Izmir,Kadin,1990.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,40.0,300.0
65687031,Deney,Gaziantep,Kadin,1984.0,Universite - Lisans Derecesi,0.0,,1.0,60.0,700.0
64273008,Kontrol,Isparta,Erkek,1986.0,Universite - Lisans Derecesi,0.0,,,,
64248022,Deney,Izmir,Kadin,1984.0,Lise (Lise),1.0,0.0,1.0,60.0,1000.0
65358133,Deney,Mus,Kadin,1991.0,Ortaokul/ Ortaokul (8 Yil),0.0,,0.0,60.0,700.0
